well_0 449581.950 2715711.240 9.060 1
well_0 449581.950 2715711.240 4.060 6
well_0 449581.950 2715711.240 -0.840 13
well_0 449581.950 2715711.240 -1.640 9
well_0 449581.950 2715711.240 -2.340 29
well_0 449581.950 2715711.240 -4.940 33
well_0 449581.950 2715711.240 -7.740 34
well_0 449581.950 2715711.240 -9.940 34
well_1 449571.320 2715696.910 8.890 1
well_1 449571.320 2715696.910 3.690 6
well_1 449571.320 2715696.910 -4.810 13
well_1 449571.320 2715696.910 -6.310 29
well_1 449571.320 2715696.910 -8.910 33
well_1 449571.320 2715696.910 -10.610 34
well_1 449571.320 2715696.910 -13.810 34
well_2 449591.850 2715692.350 8.920 1
well_2 449591.850 2715692.350 4.020 6
well_2 449591.850 2715692.350 -0.680 29
well_2 449591.850 2715692.350 -3.080 33
well_2 449591.850 2715692.350 -5.080 34
well_2 449591.850 2715692.350 -8.330 34
well_3 449545.020 2715679.500 8.540 1
well_3 449545.020 2715679.500 3.340 6
well_3 449545.020 2715679.500 -3.860 13
well_3 449545.020 2715679.500 -6.060 29
well_3 449545.020 2715679.500 -8.460 33
well_3 449545.020 2715679.500 -9.960 34
well_3 449545.020 2715679.500 -13.310 34
well_4 449568.190 2715677.490 8.350 1
well_4 449568.190 2715677.490 3.150 6
well_4 449568.190 2715677.490 -2.950 13
well_4 449568.190 2715677.490 -3.750 29
well_4 449568.190 2715677.490 -4.650 33
well_4 449568.190 2715677.490 -5.650 34
well_4 449568.190 2715677.490 -8.750 34
well_5 449587.430 2715672.640 8.570 1
well_5 449587.430 2715672.640 5.170 6
well_5 449587.430 2715672.640 0.670 29
well_5 449587.430 2715672.640 0.270 33
well_5 449587.430 2715672.640 -1.930 34
well_5 449587.430 2715672.640 -5.880 34
well_6 451309.750 2714899.540 5.220 1
well_6 451309.750 2714899.540 -0.480 5
well_6 451309.750 2714899.540 -3.180 10
well_6 451309.750 2714899.540 -6.480 13
well_6 451309.750 2714899.540 -7.280 27
well_6 451309.750 2714899.540 -20.280 37
well_6 451309.750 2714899.540 -23.880 38
well_6 451309.750 2714899.540 -26.680 38
well_7 451317.670 2714896.210 5.090 1
well_7 451317.670 2714896.210 -0.710 5
well_7 451317.670 2714896.210 -5.110 10
well_7 451317.670 2714896.210 -6.610 13
well_7 451317.670 2714896.210 -7.510 27
well_7 451317.670 2714896.210 -19.910 37
