447068.63	2714263.42	8.56
447086.6	2714262.48	8.33
447104.6	2714261.54	8.47
447261.36	2714253.32	6.74
447279.34	2714252.38	6.65
447297.31	2714251.44	6.74
447067.37	2714239.45	7.86
447103.72	2714245.26	7.97
447139.62	2714246.38	7.99
447157.6	2714242.44	7.71
447177.62	2714241.39	6.71
447197.57	2714240.34	7.47
447218.16	2714231.55	6.9
447242.13	2714230.3	6.94
447408.4	2714221.58	6.51
447419.5	2714221.3	6.38
447102.69	2714225.63	7.79
447120.62	2714224.69	8.25
447138.6	2714223.75	8.0
447156.57	2714222.81	6.61
447176.59	2714221.76	7.2
447196.54	2714220.71	7.48
447259.48	2714217.37	6.6
447277.45	2714216.43	6.62
447295.43	2714215.49	6.66
447313.4	2714214.54	6.62
447331.38	2714213.6	5.66
447385.3	2714210.78	6.63
447066.12	2714217.49	8.22
447084.09	2714216.55	8.02
447102.09	2714215.6	7.88
447120.02	2714214.67	7.93
447137.99	2714213.72	7.39
447155.97	2714212.78	6.97
447175.99	2714211.73	7.09
447195.94	2714210.69	7.47
447216.91	2714209.59	7.38
447240.88	2714208.33	7.18
447407.25	2714199.61	6.57
447418.33	2714198.92	6.47
447065.17	2714197.51	8.1
447083.15	2714196.57	7.92
447101.15	2714195.63	7.65
447119.07	2714194.69	7.38
447137.05	2714193.75	7.49
447155.02	2714192.8	7.58
447175.05	2714191.75	7.18
447194.99	2714190.71	7.32
447215.96	2714189.61	7.52
447239.93	2714188.35	7.35
447257.91	2714187.41	7.47
447275.88	2714186.47	7.27
447293.86	2714185.53	7.05
447311.83	2714184.59	6.71
447329.81	2714183.64	6.76
447347.78	2714182.7	6.69
447365.76	2714181.76	6.89
447383.73	2714180.82	6.66
447406.2	2714179.64	6.66
447417.29	2714179.06	6.76
447063.92	2714173.55	8.01
447085.79	2714172.42	8.19
447103.76	2714171.48	7.95
447121.74	2714170.54	7.58
447139.71	2714169.6	7.71
447157.69	2714168.66	7.46
447175.66	2714167.71	7.23
447193.64	2714166.77	7.2
447211.61	2714165.83	7.53
447229.59	2714164.89	7.34
447238.83	2714167.38	7.41
447250.82	2714166.75	7.43
447262.8	2714166.13	7.47
447274.78	2714165.5	7.27
447286.77	2714164.87	7.28
447298.75	2714164.24	7.37
447310.73	2714163.61	7.18
447322.72	2714162.99	7.26
447334.7	2714162.36	6.99
447346.68	2714161.73	7.13
447359.2	2714161.68	7.52
447364.69	2714161.39	7.18
447382.67	2714160.45	7.17
447400.64	2714159.5	6.93
447416.22	2714158.69	7.02
447063.13	2714158.57	8.97
447085.1	2714157.41	8.71
447103.08	2714156.47	8.21
447121.05	2714155.53	7.95
447139.03	2714154.59	7.76
447157.0	2714153.65	7.57
447174.98	2714152.7	7.25
447192.95	2714151.76	7.38
447210.93	2714150.82	7.49
447228.9	2714149.88	7.51
447238.2	2714155.4	7.34
447250.12	2714154.77	7.44
447262.17	2714154.14	7.68
447274.09	2714153.52	7.43
447286.14	2714152.89	7.34
447298.12	2714152.26	7.33
447310.16	2714151.63	7.31
447322.09	2714151.0	7.49
447334.07	2714150.37	7.39
447346.06	2714149.75	7.11
447355.04	2714149.28	7.22
447363.81	2714144.61	7.28
447381.79	2714143.67	8.23
447399.76	2714142.73	7.55
447415.35	2714142.11	7.72
447062.35	2714143.59	8.75
447084.32	2714142.44	8.68
447102.29	2714141.49	8.09
447120.27	2714140.55	7.93
447138.24	2714139.61	7.89
447156.22	2714138.67	7.68
447174.19	2714137.72	7.57
447192.17	2714136.78	7.57
447210.14	2714135.84	7.77
447228.12	2714134.9	7.66
447243.1	2714134.11	7.46
447261.07	2714133.17	7.79
447279.05	2714132.23	7.78
